prefix,rate
1201200,0.00375
1201201,0.00375
1201202,0.00375
1201203,0.00375
1201204,0.00375
1201205,0.00375
1201206,0.00375
1201207,0.00375
1201208,0.00375
1201209,0.00375
1201210,0.00375
1201212,0.00375
1201213,0.00375
1201214,0.00375
1201215,0.00375
1201216,0.00375
1201217,0.00375
1201218,0.00375
1201219,0.00375
1201220,0.00375
1201221,0.00375
1201222,0.00375
1201223,0.00375
1201224,0.00375
1201225,0.00375
1201226,0.00375
1201227,0.00375
1201228,0.00375
1201229,0.00375
1201230,0.00375
1201231,0.00375
1201232,0.00375
1201233,0.00375
1201234,0.00375
1201235,0.00375
1201236,0.00375
1201237,0.00375
1201238,0.00375
1201239,0.00375
1201240,0.00375
1201241,0.00375
1201242,0.00375
1201243,0.00375
1201244,0.00375
1201245,0.00375
1201246,0.00375
1201247,0.00375
1201248,0.00375
1201249,0.00375
1201250,0.00375
1201251,0.00375
1201252,0.00375
1201253,0.00375
1201254,0.00375
1201255,0.00375
1201256,0.00375
1201257,0.00375
1201258,0.00375
1201259,0.00375
1201261,0.00375
1201262,0.00375
1201263,0.00375
1201264,0.00375
1201265,0.00375
1201266,0.00375
1201267,0.00375
1201268,0.00375
1201269,0.00375
1201270,0.00375
1201271,0.00375
1201272,0.00375
1201273,0.00375
1201274,0.00375
1201275,0.00375
1201276,0.00375
1201277,0.00375
1201278,0.00375
1201279,0.00375
1201280,0.00375
1201281,0.00375
1201282,0.00375
1201283,0.00375
1201284,0.00375
1201285,0.00375
1201286,0.00375
1201287,0.00375
1201288,0.00375
1201289,0.00375
1201290,0.00375
1201291,0.00375
1201292,0.00375
1201293,0.00375
1201294,0.00375
1201295,0.00375
1201296,0.00375
1201297,0.00375
1201298,0.00375
1201299,0.00375
1201300,0.00375
1201301,0.00375
1201302,0.00375
1201303,0.00375
1201304,0.00375
1201305,0.00375
1201306,0.00375
1201307,0.00375
1201308,0.00375
1201309,0.00375
1201310,0.00375
1201312,0.00375
1201313,0.00375
1201314,0.00375
1201315,0.00375
1201316,0.00375
1201317,0.00375
1201318,0.00375
1201319,0.00375
1201320,0.00375
1201321,0.00375
1201322,0.00375
1201323,0.00375
1201324,0.00375
1201325,0.00375
1201326,0.00375
1201327,0.00375
1201328,0.00375
1201329,0.00375
1201330,0.00375
1201331,0.00375
1201332,0.00375
1201333,0.00375
1201334,0.00375
1201335,0.00375
1201336,0.00375
1201337,0.00375
1201338,0.00375
1201339,0.00375
1201340,0.00375
1201341,0.00375
1201342,0.00375
1201343,0.00375
1201344,0.00375
1201345,0.00375
1201346,0.00375
1201347,0.00375
1201348,0.00375
1201349,0.00375
1201350,0.00375
1201351,0.00375
1201352,0.00375
1201353,0.00375
1201354,0.00375
1201355,0.00375
1201356,0.00375
1201357,0.00375
1201358,0.00375
1201359,0.00375
1201360,0.00375
1201361,0.00375
1201362,0.00375
1201363,0.00375
1201364,0.00375
1201365,0.00375
1201366,0.00375
1201367,0.00375
1201368,0.00375
1201369,0.00375
1201370,0.00375
1201371,0.00375
1201372,0.00375
1201373,0.00375
1201374,0.00375
1201375,0.00375
1201376,0.00375
1201377,0.00375
1201378,0.00375
1201379,0.00375
1201380,0.00375
1201381,0.00375
1201382,0.00375
1201383,0.00375
1201384,0.00375
1201385,0.00375
1201386,0.00375
1201387,0.00375
1201388,0.00375
1201389,0.00375
1201390,0.00375
1201391,0.00375
1201392,0.00375
1201393,0.00375
1201394,0.00375
1201395,0.00375
1201396,0.00375
1201397,0.00375
1201398,0.00375
1201399,0.00375
1201400,0.00375
1201401,0.00375
1201402,0.00375
1201403,0.00375
1201404,0.00375
1201405,0.00375
1201406,0.00375
1201407,0.00375
1201408,0.00375
1201409,0.00375
1201410,0.00375
1201412,0.00375
1201413,0.00375
1201414,0.00375
1201415,0.00375
1201416,0.00375
1201417,0.00375
1201418,0.00375
1201419,0.00375
1201420,0.00375
1201421,0.00375
1201422,0.00375
1201423,0.00375
1201424,0.00375
1201425,0.00375
1201426,0.00375
1201427,0.00375
1201428,0.00375
1201429,0.00375
1201430,0.00375
1201431,0.00375
1201432,0.00375
1201433,0.00375
1201434,0.00375
1201435,0.00375
1201436,0.00375
1201437,0.00375
1201438,0.00375
1201439,0.00375
1201440,0.00375
1201441,0.00375
1201442,0.00375
1201443,0.00375
1201444,0.00375
1201445,0.00375
1201446,0.00375
1201447,0.00375
1201448,0.00375
1201449,0.00375
1201450,0.00375
1201451,0.00375
1201452,0.00375
1201453,0.00375
1201454,0.00375
1201455,0.00375
1201456,0.00375
1201457,0.00375
1201458,0.00375
1201459,0.00375
1201460,0.00375
1201461,0.00375
1201462,0.00375
1201463,0.00375
1201464,0.00375
1201465,0.00375
1201466,0.00375
1201467,0.00375
1201468,0.00375
1201469,0.00375
1201470,0.00375
1201471,0.00375
1201472,0.00375
1201473,0.00375
1201474,0.00375
1201475,0.00375
1201476,0.00375
1201477,0.00375
1201478,0.00375
1201479,0.00375
1201480,0.00375
1201481,0.00375
1201482,0.00375
1201483,0.00375
1201484,0.00375
1201485,0.00375
1201486,0.00375
1201487,0.00375
