prefix,rate
1201007,0.013
1201040,0.0167
1201200,0.0034
1201201,0.0069
1201202,0.0019
1201203,0.0038
1201204,0.004
1201205,0.0048
1201206,0.0048
1201207,0.0023
1201208,0.0046
1201209,0.0025
1201210,0.0044
1201211,0.0328
1201212,0.0048
1201213,0.0023
1201214,0.0046
1201215,0.0044
1201216,0.0034
1201217,0.0038
1201218,0.0044
1201219,0.0019
1201220,0.0055
1201221,0.0034
1201222,0.0034
1201223,0.0046
1201224,0.0044
1201225,0.0044
1201226,0.0044
1201227,0.0046
1201228,0.0044
1201229,0.0038
1201230,0.0025
1201231,0.0046
1201232,0.0025
1201233,0.0059
1201234,0.0046
1201235,0.0061
1201236,0.0038
1201237,0.0053
1201238,0.0059
1201239,0.0034
1201240,0.0023
1201241,0.0023
1201242,0.0046
1201243,0.0044
1201244,0.0044
1201245,0.0048
1201246,0.004
1201247,0.0023
1201248,0.0023
1201249,0.0023
1201250,0.0023
1201251,0.0046
1201252,0.0044
1201253,0.0046
1201254,0.0038
1201255,0.0028
1201256,0.0038
1201257,0.0044
1201258,0.0044
1201259,0.0023
1201260,0.02
1201261,0.0044
1201262,0.0034
1201263,0.0044
1201264,0.0025
1201265,0.004
1201266,0.0044
1201267,0.0038
1201268,0.0048
1201269,0.0044
1201270,0.0044
1201271,0.0046
1201272,0.0038
1201273,0.0023
1201274,0.0023
1201275,0.0048
1201276,0.0059
1201277,0.0046
1201278,0.0059
1201279,0.0048
1201280,0.0023
1201281,0.0057
1201282,0.0025
1201283,0.0025
1201284,0.0032
1201285,0.0034
1201286,0.0048
1201287,0.003
1201288,0.004
1201289,0.0044
1201290,0.0044
1201291,0.004
1201292,0.004
1201293,0.003
1201294,0.0048
1201295,0.0044
1201296,0.0044
1201297,0.0023
1201298,0.0044
1201299,0.0025
1201300,0.0023
1201301,0.0023
1201302,0.0044
1201303,0.0046
1201304,0.0048
1201305,0.0046
1201306,0.0023
1201307,0.004
1201308,0.0038
1201309,0.0034
1201310,0.0055
1201311,0.0328
1201312,0.0046
1201313,0.004
1201314,0.0044
1201315,0.0046
1201316,0.004
1201317,0.0025
1201318,0.0046
1201319,0.0046
1201320,0.0023
1201321,0.0023
1201322,0.0025
1201323,0.0048
1201324,0.003
1201325,0.0046
1201326,0.0025
1201327,0.004
1201328,0.0023
1201329,0.0044
1201330,0.0044
1201331,0.0023
1201332,0.003
1201333,0.003
1201334,0.003
1201335,0.0038
1201336,0.0034
1201337,0.0044
1201338,0.0038
1201339,0.004
1201340,0.003
1201341,0.0023
1201342,0.0028
1201343,0.003
1201344,0.0046
1201345,0.0038
1201346,0.0044
1201347,0.0038
1201348,0.0044
1201349,0.0065
1201350,0.0048
1201351,0.0034
1201352,0.004
1201353,0.0023
1201354,0.0067
1201355,0.0059
1201356,0.0044
1201357,0.0044
1201358,0.0044
1201359,0.0025
1201360,0.0025
1201361,0.0025
1201362,0.0046
1201363,0.0034
1201364,0.0023
1201365,0.0059
1201366,0.0023
1201367,0.0038
1201368,0.0044
1201369,0.0025
1201370,0.0025
1201371,0.004
1201372,0.0034
1201373,0.0044
1201374,0.0038
1201375,0.0038
1201376,0.0048
1201377,0.003
1201378,0.0025
1201379,0.0025
1201380,0.0025
1201381,0.0038
1201382,0.0019
1201383,0.0038
1201384,0.004
1201385,0.0044
1201386,0.0034
1201387,0.0038
1201388,0.0023
1201389,0.004
1201390,0.0025
1201391,0.004
1201392,0.0044
1201393,0.0044
1201394,0.0023
1201395,0.003
1201396,0.0023
1201397,0.0025
1201398,0.0046
1201399,0.0023
1201400,0.0023
1201401,0.0023
1201402,0.004
1201403,0.0044
1201404,0.0053
1201405,0.004
1201406,0.0046
1201407,0.003
1201408,0.0038
1201409,0.0025
1201410,0.0023
1201411,0.0328
1201412,0.0053
1201413,0.0034
1201414,0.0038
1201415,0.0048
1201416,0.0044
1201417,0.0044
1201418,0.0034
1201419,0.0046
1201420,0.0034
1201421,0.0044
1201422,0.0046
1201423,0.0048
1201424,0.0025
1201425,0.0038
1201426,0.0044
1201427,0.0023
1201428,0.0038
1201429,0.0038
1201430,0.0046
1201431,0.0038
1201432,0.0034
1201433,0.003
1201434,0.003
1201435,0.0034
1201436,0.0038
1201437,0.0034
1201438,0.0046
1201439,0.0044
1201440,0.0034
1201441,0.003
1201442,0.0046
1201443,0.0046
1201444,0.0034
1201445,0.0034
1201446,0.0025
1201447,0.0038
1201448,0.0023
1201449,0.0046
1201450,0.0048
1201451,0.0034
1201452,0.0023
1201453,0.0046
1201454,0.0048
1201455,0.0046
1201456,0.0065
1201457,0.003
1201458,0.0025
1201459,0.0032
1201460,0.0038
1201461,0.0044
1201462,0.0044
1201463,0.0023
1201464,0.0034
1201465,0.0023
1201466,0.0046
1201467,0.0046
1201468,0.0034
1201469,0.0044
1201470,0.0023
1201471,0.0025
1201472,0.0065
1201473,0.0025
1201474,0.0044
1201475,0.004
1201476,0.004
1201477,0.0038
1201478,0.0046
1201479,0.0034
1201480,0.0046
1201481,0.0048
1201482,0.0025
1201483,0.0034
1201484,0.0065
1201485,0.0044
1201486,0.0063
1201487,0.0034
1201488,0.0025
1201489,0.0028
1201490,0.003
1201491,0.0048
1201492,0.0048
1201493,0.0044
1201494,0.0048
1201495,0.0019
1201496,0.0065
1201497,0.0038
1201498,0.0034
1201499,0.004
1201500,0.0025
1201501,0.0046
1201502,0.0019
1201503,0.0046
1201504,0.0075
1201505,0.004
1201506,0.0048
1201507,0.004
1201508,0.0044
1201509,0.0023
1201510,0.0044
1201511,0.0411
1201512,0.0046
1201513,0.0048
1201514,0.003
1201515,0.0025
1201516,0.0032
1201517,0.0019
1201518,0.0038
1201519,0.0048
1201520,0.0038
1201521,0.003
1201522,0.0048
1201523,0.0036
1201524,0.0025
1201525,0.0034
1201526,0.0025
1201527,0.0046
1201528,0.004
1201529,0.0038
1201530,0.0025
1201531,0.0034
1201532,0.0053
1201533,0.0034
1201534,0.0019
1201535,0.0023
1201536,0.0034
1201537,0.0025
1201538,0.0048
1201539,0.0044
1201540,0.0023
1201541,0.0044
1201542,0.004
1201543,0.0023
1201544,0.003
1201545,0.0019
1201546,0.0044
1201547,0.0023
1201548,0.0023
1201549,0.0025
1201550,0.0398
1201551,0.0046
1201552,0.0023
1201553,0.0046
1201554,0.004
1201555,0.0082
1201556,0.0038
1201557,0.0034
1201558,0.0046
1201559,0.0034
1201560,0.0038
1201561,0.0023
1201562,0.0065
1201563,0.0023
1201564,0.0044
1201565,0.0034
1201566,0.0025
1201567,0.004
1201568,0.0046
1201569,0.004
1201570,0.0019
1201571,0.0038
1201572,0.0023
1201573,0.0044
1201574,0.0038
1201575,0.0025
1201576,0.0044
