prefix,rate
1800,0.0029
1833,0.0029
1844,0.0029
1855,0.0029
1866,0.0029
1877,0.0029
1888,0.0029
1201200,0.00289
1201201,0.00485
1201202,0.00224
1201203,0.00407
1201204,0.00342
1201205,0.00358
1201206,0.00342
1201207,0.00217
1201208,0.00382
1201209,0.00283
1201210,0.0038
1201212,0.00336
1201213,0.00193
1201214,0.00399
1201215,0.00387
1201216,0.00301
1201217,0.0032
1201218,0.00389
1201219,0.00241
1201220,0.00385
1201221,0.0035
1201222,0.00312
1201223,0.00364
1201224,0.00348
1201225,0.00366
1201226,0.00357
1201227,0.00359
1201228,0.00375
1201229,0.00363
1201230,0.00232
1201231,0.00311
1201232,0.00227
1201233,0.00468
1201234,0.00371
1201235,0.00455
1201236,0.00367
1201237,0.00471
1201238,0.00462
1201239,0.00316
1201240,0.00214
1201241,0.00205
1201242,0.00351
1201243,0.00384
1201244,0.00359
1201245,0.00383
1201246,0.0036
1201247,0.00215
1201248,0.00216
1201249,0.00219
1201250,0.00221
1201251,0.00339
1201252,0.00332
1201253,0.00398
1201254,0.00366
1201255,0.00224
1201256,0.00338
1201257,0.00376
1201258,0.00367
1201259,0.00209
1201261,0.00336
1201262,0.00337
1201263,0.00363
1201264,0.00231
1201265,0.0036
1201266,0.00371
1201267,0.00317
1201268,0.0038
1201269,0.00359
1201270,0.00339
1201271,0.00345
1201272,0.00297
1201273,0.00209
1201274,0.00209
1201275,0.00339
1201276,0.00466
1201278,0.00448
1201279,0.00326
1201280,0.0021
1201281,0.0042
1201282,0.00224
1201283,0.00217
1201284,0.00307
1201285,0.00326
1201286,0.00384
1201287,0.00293
1201288,0.00379
1201289,0.00382
1201290,0.00395
1201291,0.00366
1201292,0.0032
1201293,0.00223
1201294,0.00384
1201295,0.00359
1201296,0.00355
1201297,0.0025
1201298,0.00392
1201299,0.00253
1201300,0.00253
1201301,0.00242
1201302,0.00331
1201303,0.00385
1201304,0.00358
1201305,0.00348
1201306,0.00221
1201307,0.00345
1201308,0.00343
1201309,0.00283
1201310,0.00407
1201312,0.00375
1201313,0.00362
1201314,0.00396
1201315,0.00389
1201316,0.00341
1201317,0.00201
1201318,0.00343
1201319,0.00368
1201320,0.00215
1201321,0.00209
1201322,0.00253
1201323,0.0038
1201324,0.00287
1201325,0.00349
1201326,0.00243
1201327,0.00393
1201328,0.00231
1201329,0.00355
1201330,0.00347
1201331,0.0025
1201332,0.00306
1201333,0.00319
1201334,0.00246
1201335,0.0034
1201336,0.0032
1201337,0.00382
1201338,0.00343
1201339,0.00395
1201340,0.00217
1201341,0.00213
1201342,0.00322
1201343,0.00334
1201344,0.00334
1201345,0.0031
1201346,0.00326
1201347,0.00318
1201348,0.00372
1201349,0.0046
1201350,0.00333
1201351,0.00288
1201352,0.00301
1201353,0.0025
1201354,0.00439
1201355,0.00429
1201356,0.00339
1201357,0.0037
1201358,0.00382
1201359,0.00241
1201360,0.00217
1201361,0.00219
1201362,0.00355
1201363,0.00303
1201364,0.00195
1201365,0.0061
1201366,0.00294
1201367,0.00302
1201368,0.00367
1201369,0.00283
1201370,0.00215
1201371,0.00374
1201372,0.00361
1201373,0.00356
1201374,0.00318
1201375,0.00321
1201376,0.00349
1201377,0.00214
1201378,0.00223
1201379,0.00222
1201380,0.00277
1201381,0.00338
1201382,0.00219
1201383,0.00304
1201384,0.00364
1201385,0.00322
1201386,0.00294
1201387,0.00361
1201388,0.00212
1201389,0.00339
1201390,0.00226
1201391,0.00368
1201392,0.00363
1201393,0.00363
1201394,0.0022
1201395,0.00283
1201396,0.00219
1201397,0.00248
1201398,0.00361
1201399,0.0025
1201400,0.00221
1201401,0.00217
1201402,0.00327
1201403,0.00313
1201404,0.00374
1201405,0.0036
1201406,0.00375
1201407,0.0023
1201408,0.00312
1201409,0.00217
1201410,0.00231
1201412,0.00375
1201413,0.00291
1201414,0.00307
1201415,0.00374
1201416,0.00343
1201417,0.00385
1201418,0.00302
1201419,0.00384
1201420,0.00312
1201421,0.00348
1201422,0.0036
1201423,0.00348
1201424,0.00219
1201425,0.00302
1201426,0.00336
1201427,0.0025
1201428,0.00323
1201429,0.00307
1201430,0.00367
1201431,0.00277
1201432,0.00302
1201433,0.00295
1201434,0.00289
1201435,0.00292
