prefix,rate
1201200,0.0027
1201201,0.0027
1201202,0.0027
1201203,0.0027
1201204,0.0027
1201205,0.0027
1201206,0.0027
1201207,0.0027
1201208,0.0027
1201209,0.0027
1201210,0.0027
1201212,0.0027
1201213,0.0027
1201214,0.0027
1201215,0.0027
1201216,0.0027
1201217,0.0027
1201218,0.0027
1201219,0.0027
1201220,0.0027
1201221,0.0027
1201222,0.0027
1201223,0.0027
1201224,0.0027
1201225,0.0027
1201226,0.0027
1201227,0.0027
1201228,0.0027
1201229,0.0027
1201230,0.0027
1201231,0.0027
1201232,0.0027
1201233,0.0027
1201234,0.0027
1201235,0.0027
1201236,0.0027
1201237,0.0027
1201238,0.0027
1201239,0.0027
1201240,0.0027
1201241,0.0027
1201242,0.0027
1201243,0.0027
1201244,0.0027
1201245,0.0027
1201246,0.0027
1201247,0.0027
1201248,0.0027
1201249,0.0027
1201250,0.0027
1201251,0.0027
1201252,0.0027
1201253,0.0027
1201254,0.0027
1201255,0.0027
1201256,0.0027
1201257,0.0027
1201258,0.0027
1201259,0.0027
1201261,0.0027
1201262,0.0027
1201263,0.0027
1201264,0.0027
1201265,0.0027
1201266,0.0027
1201267,0.0027
1201268,0.0027
1201269,0.0027
1201270,0.0027
1201271,0.0027
1201272,0.0027
1201273,0.0027
1201274,0.0027
1201275,0.0027
1201276,0.0027
1201277,0.0027
1201278,0.0027
1201279,0.0027
1201280,0.0027
1201281,0.0027
1201282,0.0027
1201283,0.0027
1201284,0.0027
1201285,0.0027
1201286,0.0027
1201287,0.0027
1201288,0.0027
1201289,0.0027
1201290,0.0027
1201291,0.0027
1201292,0.0027
1201293,0.0027
1201294,0.0027
1201295,0.0027
1201296,0.0027
1201297,0.0027
1201298,0.0027
1201299,0.0027
1201300,0.0027
1201301,0.0027
1201302,0.0027
1201303,0.0027
1201304,0.0027
1201305,0.0027
1201306,0.0027
1201307,0.0027
1201308,0.0027
1201309,0.0027
1201310,0.0027
1201312,0.0027
1201313,0.0027
1201314,0.0027
1201315,0.0027
1201316,0.0027
1201317,0.0027
1201318,0.0027
1201319,0.0027
1201320,0.0027
1201321,0.0027
1201322,0.0027
1201323,0.0027
1201324,0.0027
1201325,0.0027
1201326,0.0027
1201327,0.0027
1201328,0.0027
1201329,0.0027
1201330,0.0027
1201331,0.0027
1201332,0.0027
1201333,0.0027
1201334,0.0027
1201335,0.0027
1201336,0.0027
1201337,0.0027
1201338,0.0027
1201339,0.0027
1201340,0.0027
1201341,0.0027
1201342,0.0027
1201343,0.0027
1201344,0.0027
1201345,0.0027
1201346,0.0027
1201347,0.0027
1201348,0.0027
1201349,0.0027
1201350,0.0027
1201351,0.0027
1201352,0.0027
1201353,0.0027
1201354,0.0027
1201355,0.0027
1201356,0.0027
1201357,0.0027
1201358,0.0027
1201359,0.0027
1201360,0.0027
1201361,0.0027
1201362,0.0027
1201363,0.0027
1201364,0.0027
1201365,0.0027
1201366,0.0027
1201367,0.0027
1201368,0.0027
1201369,0.0027
1201370,0.0027
1201371,0.0027
1201372,0.0027
1201373,0.0027
1201374,0.0027
1201375,0.0027
1201376,0.0027
1201377,0.0027
1201378,0.0027
1201379,0.0027
1201380,0.0027
1201381,0.0027
1201382,0.0027
1201383,0.0027
1201384,0.0027
1201385,0.0027
1201386,0.0027
1201387,0.0027
1201388,0.0027
1201389,0.0027
1201390,0.0027
1201391,0.0027
1201392,0.0027
1201393,0.0027
1201394,0.0027
1201395,0.0027
1201396,0.0027
1201397,0.0027
1201398,0.0027
1201399,0.0027
1201400,0.0027
1201401,0.0027
1201402,0.0027
1201403,0.0027
1201404,0.0027
1201405,0.0027
1201406,0.0027
1201407,0.0027
1201408,0.0027
1201409,0.0027
1201410,0.0027
